time,P,G(i),H_sun,T2m,WS10m,Int
20230115:1310,25.62,43.9,15.64,6.6,2.9,0.0
20230115:1410,5.76,16.59,9.53,6.4,2.62,0.0
20230115:1510,0.0,0.96,1.84,6.15,2.34,0.0
20230115:1610,0.0,0.0,0.0,5.58,2.07,0.0
20230115:1710,0.0,0.0,0.0,4.9,1.86,0.0
20230115:1810,0.0,0.0,0.0,5.1,1.93,0.0
20230115:1910,0.0,0.0,0.0,5.45,1.86,0.0
20230115:2010,0.0,0.0,0.0,4.84,1.66,0.0
20230115:2110,0.0,0.0,0.0,4.24,1.59,0.0
20230115:2210,0.0,0.0,0.0,3.6,1.24,0.0
20230115:2310,0.0,0.0,0.0,3.06,1.03,0.0
20230116:0010,0.0,0.0,0.0,2.34,1.1,0.0
20230116:0110,0.0,0.0,0.0,1.92,0.97,0.0
20230116:0210,0.0,0.0,0.0,1.73,0.83,0.0
20230116:0310,0.0,0.0,0.0,1.46,0.83,0.0
20230116:0410,0.0,0.0,0.0,1.26,0.69,0.0
20230116:0510,0.0,0.0,0.0,1.19,0.55,0.0
20230116:0610,0.0,0.0,0.0,0.97,0.41,0.0
20230116:0710,0.13,5.85,3.88,0.71,1.17,0.0
20230116:0810,20.9,37.08,11.26,0.75,1.38,0.0
20230116:0910,102.15,130.76,16.96,1.12,1.03,0.0
20230116:1010,71.99,97.57,20.5,1.78,0.55,0.0
20230116:1110,45.6,67.32,21.52,2.23,0.55,0.0
20230116:1210,65.9,90.74,19.91,2.39,1.38,0.0
20230116:1310,67.12,92.0,15.85,2.28,1.86,0.0
20230116:1410,27.77,45.86,9.73,2.16,2.28,0.0
20230116:1510,0.0,0.96,2.04,1.84,2.69,0.0
20230116:1610,0.0,0.0,0.0,1.54,3.03,0.0
20230116:1710,0.0,0.0,0.0,1.35,3.59,0.0
20230116:1810,0.0,0.0,0.0,1.18,3.59,0.0
20230116:1910,0.0,0.0,0.0,0.46,3.79,0.0
20230116:2010,0.0,0.0,0.0,0.44,3.72,0.0
20230116:2110,0.0,0.0,0.0,0.66,3.66,0.0
20230116:2210,0.0,0.0,0.0,0.57,3.17,0.0
20230116:2310,0.0,0.0,0.0,0.34,2.62,0.0
20230117:0010,0.0,0.0,0.0,0.41,2.28,0.0
20230117:0110,0.0,0.0,0.0,0.44,2.0,0.0
20230117:0210,0.0,0.0,0.0,0.59,1.66,0.0
20230117:0310,0.0,0.0,0.0,0.41,1.52,0.0
20230117:0410,0.0,0.0,0.0,0.22,1.45,0.0
20230117:0510,0.0,0.0,0.0,-0.29,1.52,0.0
20230117:0610,0.0,0.0,0.0,-0.88,1.52,0.0
20230117:0710,4.78,14.63,3.99,-1.1,1.72,0.0
20230117:0810,117.33,148.14,11.4,0.4,1.45,0.0
20230117:0910,102.47,131.63,17.11,2.34,1.52,0.0
20230117:1010,488.13,570.01,20.67,3.69,1.52,0.0
20230117:1110,275.68,325.28,21.72,4.95,1.86,0.0
20230117:1210,56.63,80.98,20.12,5.53,2.97,0.0
20230117:1310,55.86,80.0,16.06,5.2,2.62,0.0
20230117:1410,25.08,42.93,9.94,4.69,2.28,0.0
20230117:1510,0.0,1.91,2.24,4.01,1.86,0.0
20230117:1610,0.0,0.0,0.0,3.32,1.93,0.0
20230117:1710,0.0,0.0,0.0,3.01,2.34,0.0
20230117:1810,0.0,0.0,0.0,2.88,2.69,0.0
20230117:1910,0.0,0.0,0.0,2.34,1.24,0.0
20230117:2010,0.0,0.0,0.0,2.21,0.69,0.0
20230117:2110,0.0,0.0,0.0,2.16,0.41,0.0
20230117:2210,0.0,0.0,0.0,2.21,0.41,0.0
20230117:2310,0.0,0.0,0.0,2.15,0.55,0.0
20230118:0010,0.0,0.0,0.0,2.03,0.48,0.0
20230118:0110,0.0,0.0,0.0,2.05,0.21,0.0
20230118:0210,0.0,0.0,0.0,2.01,0.14,0.0
20230118:0310,0.0,0.0,0.0,2.05,0.41,0.0
20230118:0410,0.0,0.0,0.0,2.04,0.76,0.0
20230118:0510,0.0,0.0,0.0,2.04,1.1,0.0
20230118:0610,0.0,0.0,0.0,1.95,0.83,0.0
20230118:0710,18.54,35.63,4.11,1.06,1.38,0.0
20230118:0810,104.61,134.39,11.54,1.5,1.72,0.0
20230118:0910,285.03,333.77,17.28,2.74,1.66,0.0
20230118:1010,51.97,75.13,20.86,3.81,1.52,0.0
20230118:1110,82.1,110.25,21.92,5.03,1.45,0.0
20230118:1210,341.07,402.45,20.33,5.98,1.45,0.0
20230118:1310,53.0,77.08,16.27,6.35,1.72,0.0
20230118:1410,63.85,90.09,10.15,5.85,2.0,0.0
20230118:1510,0.0,2.87,2.44,5.05,1.66,0.0
20230118:1610,0.0,0.0,0.0,3.66,1.45,0.0
20230118:1710,0.0,0.0,0.0,2.58,0.97,0.0
20230118:1810,0.0,0.0,0.0,2.52,0.69,0.0
20230118:1910,0.0,0.0,0.0,2.45,0.41,0.0
